address_id,region_code,region_name,municipality_code,urbanicity,address_type,flag_duplicate_address_id,flag_invalid_region,flag_missing_municipality_code,flag_invalid_urbanicity,flag_invalid_address_type
A000001,R06,River Region,R06-M03,mixed,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000002,R12,Metro Region,R12-M03,urban,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000003,R09,Urban Belt,R09-M02,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000004,R09,Urban Belt,R09-M03,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000005,R10,Rural Belt,R10-M04,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000006,R05,Central Region,R05-M01,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000007,R04,East District,R04-M03,mixed,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000008,R06,River Region,R06-M01,mixed,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000009,R05,Central Region,R05-M01,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000010,R07,Mountain Region,R07-M01,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000011,R10,Rural Belt,R10-M01,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000012,R08,Lake Region,R08-M04,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000013,R11,Border Region,R11-M02,mixed,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000014,R11,Border Region,R11-M01,mixed,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000015,R07,Mountain Region,R07-M04,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000016,R05,Central Region,R05-M04,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000017,R09,Urban Belt,R09-M01,urban,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000018,R10,Rural Belt,R10-M01,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000019,R02,South City,R02-M03,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000020,R04,East District,R04-M04,mixed,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000021,R02,South City,R02-M04,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000022,R01,North City,R01-M03,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000023,R05,Central Region,R05-M04,urban,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000024,R09,Urban Belt,R09-M03,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000025,R10,Rural Belt,R10-M01,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000026,R09,Urban Belt,R09-M02,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000027,R05,Central Region,R05-M03,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000028,R01,North City,R01-M03,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000029,R03,West District,R03-M01,mixed,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000030,R06,River Region,R06-M03,mixed,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000031,R11,Border Region,R11-M03,mixed,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000032,R09,Urban Belt,R09-M04,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000033,R07,Mountain Region,R07-M02,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000034,R08,Lake Region,R08-M01,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000035,R01,North City,R01-M04,urban,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000036,R11,Border Region,R11-M03,mixed,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000037,R09,Urban Belt,R09-M01,urban,large_residential,FALSE,FALSE,FALSE,FALSE,FALSE
A000038,R10,Rural Belt,R10-M03,rural,single_family,FALSE,FALSE,FALSE,FALSE,FALSE
A000039,R02,South City,R02-M01,urban,multi_family,FALSE,FALSE,FALSE,FALSE,FALSE
