person_id,school_year,enrolment_flag,institution_type,contact_address_id,population_age,in_population_register,flag_age_check_unavailable,flag_missing_institution_type,flag_invalid_institution_type,flag_implausible_enrolment_age
P000003,2025/2026,1,vocational_school,A003297,22,TRUE,FALSE,FALSE,FALSE,FALSE
P000009,2025/2026,1,vocational_school,A006180,18,TRUE,FALSE,FALSE,FALSE,FALSE
P000014,2025/2026,1,vocational_school,A015571,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000024,2025/2026,1,school,A004372,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000026,2025/2026,1,vocational_school,A005411,18,TRUE,FALSE,FALSE,FALSE,FALSE
P000027,2025/2026,1,university,A005411,18,TRUE,FALSE,FALSE,FALSE,FALSE
P000031,2025/2026,1,school,A004678,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000032,2025/2026,1,school,A010750,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000046,2025/2026,1,vocational_school,A001555,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000052,2025/2026,1,school,A010120,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000057,2025/2026,1,school,A016558,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000070,2025/2026,1,school,A002755,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000071,2025/2026,1,school,A006232,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000077,2025/2026,1,vocational_school,A012888,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000090,2025/2026,1,school,A017235,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000098,2025/2026,1,vocational_school,A010188,22,TRUE,FALSE,FALSE,FALSE,FALSE
P000108,2025/2026,1,school,A013983,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000110,2025/2026,1,vocational_school,A009036,26,TRUE,FALSE,FALSE,FALSE,FALSE
P000118,2025/2026,1,school,A012903,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000125,2025/2026,1,school,A001573,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000126,2025/2026,1,vocational_school,A012998,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000128,2025/2026,1,school,A012998,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000131,2025/2026,1,school,A004055,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000136,2025/2026,1,school,A007086,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000152,2025/2026,1,school,A005108,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000154,2025/2026,1,school,A002896,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000159,2025/2026,1,school,A015604,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000161,2025/2026,1,school,A015604,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000162,2025/2026,1,school,A017454,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000183,2025/2026,1,school,A005158,NA,TRUE,TRUE,FALSE,FALSE,FALSE
P000187,2025/2026,1,school,A005688,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000190,2025/2026,1,school,A015620,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000192,2025/2026,1,university,A017749,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000195,2025/2026,1,vocational_school,A002791,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000202,2025/2026,1,school,A014681,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000207,2025/2026,1,school,A005125,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000214,2025/2026,1,school,A012717,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000224,2025/2026,1,vocational_school,A008195,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000228,2025/2026,1,university,A010558,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000250,2025/2026,1,vocational_school,A006151,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000257,2025/2026,1,university,A006787,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000260,2025/2026,1,school,A002105,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000278,2025/2026,1,school,A006643,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000280,2025/2026,1,school,A000978,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000282,2025/2026,1,vocational_school,A000978,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000284,2025/2026,1,vocational_school,A012971,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000288,2025/2026,1,school,A006910,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000293,2025/2026,1,school,A006143,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000297,2025/2026,1,vocational_school,A006732,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000298,2025/2026,1,school,A004113,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000300,2025/2026,1,school,A012876,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000328,2025/2026,1,school,A004595,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000333,2025/2026,1,school,A013948,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000334,2025/2026,1,school,A008249,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000349,2025/2026,1,school,A001139,12,TRUE,FALSE,FALSE,FALSE,FALSE
