person_id,ref_date,employment_status,days_employed_last_12m,annual_employment_income,contact_address_id,flag_invalid_employment_status,flag_negative_income,flag_invalid_days_employed,population_age,in_population_register,flag_age_check_unavailable,flag_employed_under_15
P000002,2025-12-31,employed,340,13464.63,A010981,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000005,2025-12-31,employed,319,31590.31,A017169,FALSE,FALSE,FALSE,24,TRUE,FALSE,FALSE
P000008,2025-12-31,marginal,79,6217.17,A017169,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000011,2025-12-31,employed,358,18946.7,A002290,FALSE,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000014,2025-12-31,employed,353,38680.25,A004368,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000020,2025-12-31,self_employed,365,9296.59,NA,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000021,2025-12-31,employed,279,32317.03,A006795,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000024,2025-12-31,employed,297,45616.13,A002416,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000026,2025-12-31,employed,280,31530.5,A008359,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000027,2025-12-31,employed,289,23699.11,A012972,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000028,2025-12-31,employed,192,23681.73,A012972,FALSE,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000030,2025-12-31,employed,160,28872.58,A005056,FALSE,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000032,2025-12-31,employed,288,22753.17,A005056,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000033,2025-12-31,employed,266,23731.45,A005056,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000034,2025-12-31,employed,234,26757.39,A003866,FALSE,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000035,2025-12-31,employed,177,12089.07,A017543,FALSE,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000038,2025-12-31,employed,224,13803.93,A016319,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000041,2025-12-31,employed,339,24510.8,A004350,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000043,2025-12-31,employed,365,18932.46,A004350,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000046,2025-12-31,employed,129,21072.54,A002969,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000048,2025-12-31,self_employed,143,29751.25,A014723,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000052,2025-12-31,employed,318,27930.47,A007451,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000053,2025-12-31,employed,289,26015.5,A008803,FALSE,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000054,2025-12-31,employed,332,26933.97,A008803,FALSE,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000055,2025-12-31,employed,275,20984.28,A008803,FALSE,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000056,2025-12-31,marginal,139,4674.91,A009274,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000057,2025-12-31,employed,305,36031.61,A009274,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000058,2025-12-31,employed,317,37064.28,A009274,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000059,2025-12-31,employed,356,35207.35,A009274,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE
