person_id,household_id,address_id,region_code,municipality_code,sex,age,age_group,citizenship_group,registration_status,registration_date,last_move_date,flag_duplicate_person_id,flag_address_not_found,flag_invalid_region,flag_region_address_mismatch,flag_municipality_address_mismatch,flag_invalid_age,flag_missing_registration_status,flag_invalid_citizenship_group,flag_date_inconsistency
P000001,H000001,A006655,R09,R09-M02,M,50,40-64,DE,main_residence,2020-08-25,2020-08-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000002,H000002,A001216,R02,R02-M01,F,95,80+,DE,main_residence,2009-01-09,2015-02-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000003,H000003,A003297,R01,R01-M04,F,22,18-24,EU,main_residence,2019-01-11,2019-01-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000004,H000004,A005655,R04,R04-M04,F,1,0-5,DE,main_residence,2019-02-22,2019-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000005,H000004,A005655,R04,R04-M04,M,55,40-64,DE,main_residence,2018-09-01,2018-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000006,H000005,A009528,R05,R05-M04,M,49,40-64,DE,main_residence,2019-07-11,2019-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000007,H000006,A017925,R01,R01-M02,F,59,40-64,DE,main_residence,2017-07-17,2018-10-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000008,H000006,A017925,R01,R01-M02,F,76,65-79,DE,main_residence,2007-03-01,2016-05-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000009,H000007,A006180,R10,R10-M03,M,18,18-24,DE,main_residence,2019-06-17,2019-06-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000010,H000007,A006180,R10,R10-M03,M,34,25-39,DE,main_residence,2018-03-05,2018-03-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000011,H000008,A014541,R09,R09-M01,M,57,40-64,Non-EU,main_residence,2020-06-15,2020-06-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000012,H000009,A001072,R06,R06-M02,M,46,40-64,DE,main_residence,2005-05-02,2014-06-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000013,H000009,A001072,R06,R06-M02,M,66,65-79,DE,main_residence,2012-02-01,2023-05-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000014,H000010,A015571,R01,R01-M02,M,23,18-24,EU,main_residence,2019-12-08,2019-12-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000015,H000010,A015571,R01,R01-M02,M,61,40-64,DE,main_residence,2012-04-23,2021-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000016,H000011,A014240,R06,R06-M01,M,44,40-64,DE,main_residence,2008-10-30,2018-05-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000017,H000011,A014240,R06,R06-M01,F,45,40-64,DE,main_residence,2013-02-20,2019-04-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000018,H000011,A014240,R06,R06-M01,M,43,40-64,Non-EU,main_residence,2025-09-27,2025-09-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000019,H000011,A014240,R06,R06-M01,F,47,40-64,DE,main_residence,2005-05-14,2019-05-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000020,H000012,A002389,R09,R09-M04,F,74,65-79,DE,main_residence,2007-05-29,2021-09-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
