person_id,household_id,address_id,region_code,municipality_code,sex,age,age_group,citizenship_group,registration_status,in_population_register,in_employment_register,employment_signal,flag_employed_under_15,employment_contact_address_id,in_tax_register,tax_signal,flag_tax_under_14,tax_contact_address_id,in_education_register,education_signal,flag_implausible_enrolment_age,education_contact_address_id,n_auxiliary_sources,n_activity_signals,observed_source_status,flag_no_activity_signal,flag_registered_without_activity,flag_auxiliary_only,flag_auxiliary_only_with_activity,flag_any_cross_register_plausibility_issue,n_contact_addresses_available,n_distinct_contact_addresses,flag_auxiliary_address_conflict,consistent_auxiliary_address_id,n_contact_addresses_matching_population,flag_population_auxiliary_address_disagreement,consistent_auxiliary_region_code,consistent_auxiliary_municipality_code
P000001,H000001,A010981,R09,R09-M04,M,35,25-39,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A010981,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A010981,1,FALSE,R09,R09-M04
P000002,H000001,A010981,R09,R09-M04,M,59,40-64,EU,secondary_residence,1,1,1,FALSE,A010981,1,1,FALSE,A010981,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A010981,2,FALSE,R09,R09-M04
P000003,H000001,A010981,R09,R09-M04,M,67,65-79,Non-EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000004,H000001,A010981,R09,R09-M04,M,9,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A010981,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A010981,1,FALSE,R09,R09-M04
P000005,H000002,A017169,R01,R01-M03,F,24,18-24,DE,secondary_residence,1,1,1,FALSE,A017169,0,0,FALSE,NA,1,1,FALSE,A017169,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A017169,2,FALSE,R01,R01-M03
P000006,H000002,A017169,R01,R01-M03,M,24,18-24,Non-EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000007,H000002,A017169,R01,R01-M03,F,3,0-5,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000008,H000002,A017169,R01,R01-M03,F,28,25-39,EU,main_residence,1,1,1,FALSE,A017169,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017169,1,FALSE,R01,R01-M03
P000009,H000003,A003898,R06,R06-M01,F,20,18-24,DE,NA,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A003898,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A003898,1,FALSE,R06,R06-M01
P000010,H000003,A003898,R06,R06-M01,M,4,0-5,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
