person_id,tax_year,tax_filing_flag,taxable_income,contact_address_id,flag_invalid_tax_year,flag_negative_taxable_income,population_age,in_population_register,flag_age_check_unavailable,flag_tax_under_14
P000001,2025,1,21734.21,A010981,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000002,2025,1,80569.06,A010981,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000013,2025,1,29468.51,A017342,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000014,2025,1,81642.67,A004368,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000018,2025,1,111586.29,A012343,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000020,2025,1,24191.33,A006795,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000022,2025,1,21994.87,A009018,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000024,2025,1,46447.02,A007432,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000026,2025,1,14483.68,A008359,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000027,2025,1,26894.91,A012972,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000028,2025,1,27590.99,A012972,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000029,2025,0,0,A005056,FALSE,FALSE,72,TRUE,FALSE,FALSE
P000030,2025,1,26041.23,A005056,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000032,2025,1,25006.57,A005056,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000033,2025,1,17353.24,A005056,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000034,2025,1,51945.54,NA,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000035,2025,1,17672.72,A017543,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000038,2025,1,35630.08,A016319,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000042,2025,1,30104.86,A004350,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000045,2025,1,13149.24,A000332,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000047,2025,1,46717.25,A009096,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000048,2025,1,47278.37,A014723,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000050,2025,1,21063.99,A007451,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000052,2025,1,97162.55,A007451,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000053,2025,1,29138.02,A008803,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000054,2025,1,43023.95,A008803,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000055,2025,1,44745.39,A008803,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000059,2025,1,90449.95,A009274,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000062,2025,1,17512.01,A004085,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000065,2025,1,47546.52,A016833,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000071,2025,1,0,A003245,FALSE,FALSE,13,TRUE,FALSE,TRUE
P000076,2025,1,62396.87,A008265,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000081,2025,1,12076.8,A017804,FALSE,FALSE,79,TRUE,FALSE,FALSE
P000094,2025,1,21360.67,A016558,FALSE,FALSE,79,TRUE,FALSE,FALSE
P000096,2025,0,0,A008904,FALSE,FALSE,23,TRUE,FALSE,FALSE
P000099,2025,1,39799.83,A010646,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000105,2025,1,33710.71,A000477,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000107,2025,1,9777.64,A001838,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000109,2025,1,21157.08,A001838,FALSE,FALSE,25,TRUE,FALSE,FALSE
P000111,2025,1,15140.72,NA,FALSE,FALSE,27,TRUE,FALSE,FALSE
