person_id,age_2024,n_observations_2022,n_sources_2022,evidence_sources_2022,evidence_source_rows_2022,level_min_2022,level_max_2022,same_year_status_2022,same_year_decision_reason_2022,n_observations_2024,n_sources_2024,evidence_sources_2024,evidence_source_rows_2024,level_min_2024,level_max_2024,same_year_status_2024,same_year_decision_reason_2024,has_2022_evidence,has_2024_evidence,same_year_conflict_2024,attainment_status,attainment_level_min,attainment_level_max,decision_reason
P000001,34,,,,,,,,,1,1,ba_like_2024,ba_like_2024:1,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000002,58,,,,,,,,,1,1,ba_like_2024,ba_like_2024:2,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000003,66,,,,,,,,,1,1,ba_like_2024,ba_like_2024:3,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000005,23,,,,,,,,,1,1,ba_like_2024,ba_like_2024:4,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000006,23,1,1,zensus_like_2022,zensus_like_2022:4078,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:5,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000008,27,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000009,19,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000011,40,,,,,,,,,1,1,ba_like_2024,ba_like_2024:6,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000013,60,,,,,,,,,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1701,5,5,accepted,single_observation,FALSE,TRUE,FALSE,accepted,5,5,initial_observation
P000014,46,,,,,,,,,1,1,ba_like_2024,ba_like_2024:7,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000017,74,1,1,zensus_like_2022,zensus_like_2022:3587,1,1,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:8,1,1,accepted,single_observation,TRUE,TRUE,FALSE,accepted,1,1,compatible_retained
P000018,54,,,,,,,,,1,1,ba_like_2024,ba_like_2024:9,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000019,45,,,,,,,,,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:10|mikrozensus_like_2024:2274,3,3,accepted,same_year_compatible,FALSE,TRUE,FALSE,accepted,3,3,initial_observation
P000020,54,,,,,,,,,1,1,ba_like_2024,ba_like_2024:11,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000022,62,,,,,,,,,1,1,ba_like_2024,ba_like_2024:12,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000023,65,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000024,53,1,1,zensus_like_2022,zensus_like_2022:157,2,2,accepted,single_observation,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:13|mikrozensus_like_2024:377,2,2,accepted,same_year_compatible,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000025,22,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000026,55,,,,,,,,,1,1,ba_like_2024,ba_like_2024:14,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000027,29,1,1,zensus_like_2022,zensus_like_2022:7768,3,3,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,3,3,carry_forward
P000028,25,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000029,71,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000030,30,1,1,zensus_like_2022,zensus_like_2022:5020,6,6,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:16,4,6,accepted,single_observation,TRUE,TRUE,FALSE,accepted,6,6,compatible_retained
P000032,58,1,1,zensus_like_2022,zensus_like_2022:1774,4,4,accepted,single_observation,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2323,4,4,accepted,single_observation,TRUE,TRUE,FALSE,accepted,4,4,compatible_retained
P000033,56,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000034,42,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000035,59,,,,,,,,,1,1,ba_like_2024,ba_like_2024:18,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000037,15,,,,,,,,,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2881,2,2,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,2,initial_observation
P000038,27,,,,,,,,,1,1,mikrozensus_like_2024,mikrozensus_like_2024:752,4,4,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,4,initial_observation
