person_id,reference_year,n_observations,n_sources,evidence_sources,evidence_source_rows,level_min,level_max,same_year_status,same_year_decision_reason,age_2024
P000001,2022,1,1,zensus_like_2022,zensus_like_2022:1464,1,1,accepted,single_observation,49
P000002,2024,1,1,ba_like_2024,ba_like_2024:1,2,3,accepted,single_observation,94
P000003,2022,1,1,zensus_like_2022,zensus_like_2022:2800,1,1,accepted,single_observation,21
P000005,2024,1,1,ba_like_2024,ba_like_2024:3,1,1,accepted,single_observation,54
P000006,2024,1,1,ba_like_2024,ba_like_2024:4,2,3,accepted,single_observation,48
P000007,2022,1,1,zensus_like_2022,zensus_like_2022:3972,3,3,accepted,single_observation,58
P000007,2024,1,1,ba_like_2024,ba_like_2024:5,2,3,accepted,single_observation,58
P000008,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1794,2,2,accepted,single_observation,75
P000010,2024,1,1,ba_like_2024,ba_like_2024:6,2,3,accepted,single_observation,33
P000011,2022,1,1,zensus_like_2022,zensus_like_2022:7085,2,2,accepted,single_observation,56
P000011,2024,1,1,ba_like_2024,ba_like_2024:7,2,3,accepted,single_observation,56
P000012,2024,1,1,ba_like_2024,ba_like_2024:8,1,1,accepted,single_observation,45
P000015,2024,1,1,ba_like_2024,ba_like_2024:9,1,1,accepted,single_observation,60
P000016,2024,1,1,ba_like_2024,ba_like_2024:10,4,6,accepted,single_observation,43
P000017,2024,1,1,ba_like_2024,ba_like_2024:11,2,3,accepted,single_observation,44
P000019,2024,1,1,ba_like_2024,ba_like_2024:12,2,3,accepted,single_observation,46
P000023,2022,1,1,zensus_like_2022,zensus_like_2022:3113,4,4,accepted,single_observation,81
P000035,2024,1,1,ba_like_2024,ba_like_2024:13,4,6,accepted,single_observation,30
P000036,2022,1,1,zensus_like_2022,zensus_like_2022:2976,2,2,accepted,single_observation,46
P000036,2024,1,1,ba_like_2024,ba_like_2024:14,2,3,accepted,single_observation,46
P000037,2022,1,1,zensus_like_2022,zensus_like_2022:1394,3,3,accepted,single_observation,22
P000039,2024,1,1,ba_like_2024,ba_like_2024:15,2,3,accepted,single_observation,36
P000041,2022,1,1,zensus_like_2022,zensus_like_2022:3169,3,3,accepted,single_observation,59
P000041,2024,1,1,ba_like_2024,ba_like_2024:16,2,3,accepted,single_observation,59
P000042,2022,1,1,zensus_like_2022,zensus_like_2022:1588,2,2,accepted,single_observation,29
P000043,2024,1,1,ba_like_2024,ba_like_2024:17,4,6,accepted,single_observation,45
P000044,2022,1,1,zensus_like_2022,zensus_like_2022:3759,1,1,accepted,single_observation,93
P000045,2024,1,1,ba_like_2024,ba_like_2024:18,2,3,accepted,single_observation,25
P000048,2024,1,1,ba_like_2024,ba_like_2024:19,2,3,accepted,single_observation,50
P000050,2024,1,1,ba_like_2024,ba_like_2024:21,1,1,accepted,single_observation,18
P000054,2024,1,1,ba_like_2024,ba_like_2024:22,2,3,accepted,single_observation,53
P000056,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:346,3,3,accepted,single_observation,57
P000059,2024,1,1,ba_like_2024,ba_like_2024:23,4,6,accepted,single_observation,40
P000060,2024,1,1,ba_like_2024,ba_like_2024:24,4,6,accepted,single_observation,44
P000064,2022,1,1,zensus_like_2022,zensus_like_2022:4964,2,2,accepted,single_observation,19
P000064,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:26|mikrozensus_like_2024:1248,2,2,accepted,same_year_compatible,19
P000065,2022,1,1,zensus_like_2022,zensus_like_2022:7740,3,3,accepted,single_observation,32
P000067,2024,1,1,ba_like_2024,ba_like_2024:27,4,6,accepted,single_observation,32
P000069,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:28|mikrozensus_like_2024:1092,4,4,accepted,same_year_compatible,24
P000073,2024,1,1,ba_like_2024,ba_like_2024:30,4,6,accepted,single_observation,38
P000074,2024,1,1,ba_like_2024,ba_like_2024:31,2,3,accepted,single_observation,20
P000075,2024,1,1,ba_like_2024,ba_like_2024:32,2,3,accepted,single_observation,41
P000076,2024,1,1,ba_like_2024,ba_like_2024:33,4,6,accepted,single_observation,42
P000079,2024,1,1,ba_like_2024,ba_like_2024:34,2,3,accepted,single_observation,29
P000080,2024,1,1,ba_like_2024,ba_like_2024:35,4,6,accepted,single_observation,51
P000081,2024,1,1,ba_like_2024,ba_like_2024:36,2,3,accepted,single_observation,32
P000086,2024,1,1,ba_like_2024,ba_like_2024:37,2,3,accepted,single_observation,41
P000087,2024,1,1,ba_like_2024,ba_like_2024:38,2,3,accepted,single_observation,57
P000088,2022,1,1,zensus_like_2022,zensus_like_2022:6997,1,1,accepted,single_observation,37
P000088,2024,1,1,ba_like_2024,ba_like_2024:39,2,3,accepted,single_observation,37
P000089,2024,1,1,ba_like_2024,ba_like_2024:40,4,6,accepted,single_observation,30
P000093,2022,1,1,zensus_like_2022,zensus_like_2022:574,3,3,accepted,single_observation,85
P000093,2024,1,1,ba_like_2024,ba_like_2024:41,2,3,accepted,single_observation,85
P000094,2024,1,1,ba_like_2024,ba_like_2024:42,2,3,accepted,single_observation,57
P000095,2022,1,1,zensus_like_2022,zensus_like_2022:6845,3,3,accepted,single_observation,65
P000098,2022,1,1,zensus_like_2022,zensus_like_2022:1481,3,3,accepted,single_observation,21
P000104,2022,1,1,zensus_like_2022,zensus_like_2022:334,2,2,accepted,single_observation,50
P000107,2022,1,1,zensus_like_2022,zensus_like_2022:7546,3,3,accepted,single_observation,78
P000109,2024,1,1,ba_like_2024,ba_like_2024:43,2,3,accepted,single_observation,51
P000110,2022,1,1,zensus_like_2022,zensus_like_2022:2186,3,3,accepted,single_observation,25
P000110,2024,1,1,ba_like_2024,ba_like_2024:44,2,3,accepted,single_observation,25
P000111,2024,1,1,ba_like_2024,ba_like_2024:45,2,3,accepted,single_observation,49
P000115,2024,1,1,ba_like_2024,ba_like_2024:46,2,3,accepted,single_observation,19
P000116,2024,1,1,ba_like_2024,ba_like_2024:47,2,3,accepted,single_observation,63
P000119,2024,1,1,ba_like_2024,ba_like_2024:48,2,3,accepted,single_observation,30
P000120,2022,1,1,zensus_like_2022,zensus_like_2022:5540,3,3,accepted,single_observation,65
P000120,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:3255,3,3,accepted,single_observation,65
P000121,2022,1,1,zensus_like_2022,zensus_like_2022:6468,1,1,accepted,single_observation,46
P000121,2024,1,1,ba_like_2024,ba_like_2024:49,1,1,accepted,single_observation,46
P000124,2024,1,1,ba_like_2024,ba_like_2024:50,2,3,accepted,single_observation,26
P000127,2024,1,1,ba_like_2024,ba_like_2024:52,2,3,accepted,single_observation,48
P000133,2024,1,1,ba_like_2024,ba_like_2024:53,2,3,accepted,single_observation,36
P000134,2024,1,1,ba_like_2024,ba_like_2024:54,4,6,accepted,single_observation,77
P000135,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:55|mikrozensus_like_2024:358,2,2,accepted,same_year_compatible,29
P000137,2024,1,1,ba_like_2024,ba_like_2024:56,1,1,accepted,single_observation,42
P000139,2022,1,1,zensus_like_2022,zensus_like_2022:7594,2,2,accepted,single_observation,31
P000139,2024,1,1,ba_like_2024,ba_like_2024:57,2,3,accepted,single_observation,31
P000141,2022,1,1,zensus_like_2022,zensus_like_2022:2816,2,2,accepted,single_observation,64
P000141,2024,1,1,ba_like_2024,ba_like_2024:58,2,3,accepted,single_observation,64
P000142,2024,1,1,ba_like_2024,ba_like_2024:59,2,3,accepted,single_observation,78
P000147,2024,1,1,ba_like_2024,ba_like_2024:60,4,6,accepted,single_observation,26
P000148,2022,1,1,zensus_like_2022,zensus_like_2022:2455,2,2,accepted,single_observation,51
P000148,2024,1,1,ba_like_2024,ba_like_2024:61,2,3,accepted,single_observation,51
P000150,2022,1,1,zensus_like_2022,zensus_like_2022:4270,3,3,accepted,single_observation,24
P000151,2022,1,1,zensus_like_2022,zensus_like_2022:4015,5,5,accepted,single_observation,52
P000151,2024,1,1,ba_like_2024,ba_like_2024:62,2,3,accepted,single_observation,52
P000152,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1574,2,2,accepted,single_observation,15
P000153,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:63|mikrozensus_like_2024:51,2,2,accepted,same_year_compatible,38
P000155,2024,1,1,ba_like_2024,ba_like_2024:64,1,1,accepted,single_observation,73
P000156,2024,1,1,ba_like_2024,ba_like_2024:65,1,1,accepted,single_observation,43
P000158,2024,1,1,ba_like_2024,ba_like_2024:66,2,3,accepted,single_observation,59
P000163,2024,1,1,ba_like_2024,ba_like_2024:68,4,6,accepted,single_observation,53
P000164,2024,1,1,ba_like_2024,ba_like_2024:69,2,3,accepted,single_observation,36
P000165,2024,1,1,ba_like_2024,ba_like_2024:70,2,3,accepted,single_observation,39
P000167,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1180,5,5,accepted,single_observation,73
P000168,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:75,2,2,accepted,single_observation,30
P000169,2022,1,1,zensus_like_2022,zensus_like_2022:4720,3,3,accepted,single_observation,63
