person_id,reporting_year,qualification_group
P000001,2024,SCHOOL_VOC
P000002,2024,SCHOOL_VOC
P000003,2024,SCHOOL_VOC
P000005,2024,HIGHER_ED
P000006,2024,SCHOOL_VOC
P000011,2024,HIGHER_ED
P000014,2024,HIGHER_ED
P000017,2024,LOW_NONE
P000018,2024,SCHOOL_VOC
P000019,2024,SCHOOL_VOC
P000020,2024,HIGHER_ED
P000022,2024,SCHOOL_VOC
P000024,2024,SCHOOL_VOC
P000026,2024,HIGHER_ED
P000027,2024,SCHOOL_VOC
P000030,2024,HIGHER_ED
P000034,2024,
P000035,2024,LOW_NONE
P000041,2024,SCHOOL_VOC
P000045,2024,LOW_NONE
P000046,2024,SCHOOL_VOC
P000047,2024,SCHOOL_VOC
P000049,2024,SCHOOL_VOC
P000050,2024,HIGHER_ED
P000051,2024,HIGHER_ED
P000054,2024,SCHOOL_VOC
P000055,2024,SCHOOL_VOC
P000056,2024,HIGHER_ED
P000058,2024,SCHOOL_VOC
P000059,2024,SCHOOL_VOC
P000060,2024,SCHOOL_VOC
P000061,2024,HIGHER_ED
P000062,2024,HIGHER_ED
P000064,2024,LOW_NONE
P000074,2024,LOW_NONE
P000076,2024,SCHOOL_VOC
P000078,2024,SCHOOL_VOC
P000080,2024,SCHOOL_VOC
P000083,2024,SCHOOL_VOC
P000084,2024,SCHOOL_VOC
P000085,2024,SCHOOL_VOC
P000087,2024,LOW_NONE
P000088,2024,SCHOOL_VOC
P000090,2024,HIGHER_ED
P000093,2024,SCHOOL_VOC
P000096,2024,SCHOOL_VOC
P000100,2024,SCHOOL_VOC
P000102,2024,SCHOOL_VOC
P000109,2024,SCHOOL_VOC
P000110,2024,SCHOOL_VOC
P000111,2024,HIGHER_ED
P000112,2024,HIGHER_ED
P000114,2024,SCHOOL_VOC
P000117,2024,LOW_NONE
P000119,2024,HIGHER_ED
P000120,2024,SCHOOL_VOC
P000122,2024,SCHOOL_VOC
P000123,2024,SCHOOL_VOC
P000124,2024,HIGHER_ED
P000126,2024,HIGHER_ED
P000127,2024,SCHOOL_VOC
P000131,2024,SCHOOL_VOC
P000135,2024,SCHOOL_VOC
P000136,2024,SCHOOL_VOC
P000139,2024,SCHOOL_VOC
P000142,2024,HIGHER_ED
P000144,2024,SCHOOL_VOC
P000146,2024,HIGHER_ED
P000148,2024,SCHOOL_VOC
P000152,2024,SCHOOL_VOC
P000157,2024,SCHOOL_VOC
P000163,2024,HIGHER_ED
P000165,2024,HIGHER_ED
P000167,2024,SCHOOL_VOC
P000168,2024,HIGHER_ED
P000170,2024,HIGHER_ED
P000171,2024,HIGHER_ED
P000172,2024,SCHOOL_VOC
P000174,2024,SCHOOL_VOC
P000175,2024,HIGHER_ED
P000176,2024,SCHOOL_VOC
P000181,2024,SCHOOL_VOC
P000188,2024,HIGHER_ED
P000194,2024,HIGHER_ED
P000195,2024,HIGHER_ED
P000198,2024,SCHOOL_VOC
P000199,2024,LOW_NONE
P000205,2024,SCHOOL_VOC
P000208,2024,
P000209,2024,SCHOOL_VOC
P000210,2024,SCHOOL_VOC
P000213,2024,SCHOOL_VOC
,2024,HIGHER_ED
P000216,2024,SCHOOL_VOC
P000217,2024,HIGHER_ED
P000221,2024,SCHOOL_VOC
P000223,2024,SCHOOL_VOC
P000224,2024,HIGHER_ED
P000226,2024,SCHOOL_VOC
P000229,2024,SCHOOL_VOC
P000231,2024,SCHOOL_VOC
P000232,2024,SCHOOL_VOC
P000237,2024,SCHOOL_VOC
P000238,2024,LOW_NONE
P000242,2024,SCHOOL_VOC
P000243,2024,SCHOOL_VOC
P000244,2024,SCHOOL_VOC
P000249,2024,HIGHER_ED
P000256,2024,HIGHER_ED
P000260,2024,HIGHER_ED
P000263,2024,HIGHER_ED
P000264,2024,SCHOOL_VOC
P000268,2024,SCHOOL_VOC
P000275,2024,SCHOOL_VOC
P000279,2024,HIGHER_ED
P000288,2024,HIGHER_ED
P000293,2024,HIGHER_ED
P000294,2024,LOW_NONE
P000297,2024,HIGHER_ED
P000302,2024,SCHOOL_VOC
P000307,2024,SCHOOL_VOC
P000310,2024,HIGHER_ED
P000313,2024,HIGHER_ED
P000316,2024,SCHOOL_VOC
P000317,2024,HIGHER_ED
P000319,2024,SCHOOL_VOC
P000322,2024,SCHOOL_VOC
P000323,2024,HIGHER_ED
P000327,2024,HIGHER_ED
P000330,2024,SCHOOL_VOC
P000332,2024,SCHOOL_VOC
P000333,2024,SCHOOL_VOC
P000334,2024,SCHOOL_VOC
P000335,2024,SCHOOL_VOC
P000337,2024,SCHOOL_VOC
P000340,2024,SCHOOL_VOC
P000346,2024,SCHOOL_VOC
P000348,2024,SCHOOL_VOC
P000349,2024,SCHOOL_VOC
P000350,2024,HIGHER_ED
P000351,2024,HIGHER_ED
P000353,2024,SCHOOL_VOC
P000354,2024,HIGHER_ED
P000358,2024,SCHOOL_VOC
P000366,2024,HIGHER_ED
P000372,2024,SCHOOL_VOC
P000373,2024,HIGHER_ED
P000374,2024,SCHOOL_VOC
P000376,2024,LOW_NONE
P000377,2024,SCHOOL_VOC
P000378,2024,SCHOOL_VOC
P000380,2024,SCHOOL_VOC
,2024,SCHOOL_VOC
P000384,2024,HIGHER_ED
P000394,2024,SCHOOL_VOC
P000401,2024,SCHOOL_VOC
P000402,2024,HIGHER_ED
P000403,2024,SCHOOL_VOC
P000404,2024,SCHOOL_VOC
P000406,2024,SCHOOL_VOC
P000407,2024,SCHOOL_VOC
P000408,2024,HIGHER_ED
P000409,2024,HIGHER_ED
P000412,2024,SCHOOL_VOC
P000413,2024,SCHOOL_VOC
P000416,2024,HIGHER_ED
P000419,2024,SCHOOL_VOC
P000420,2024,SCHOOL_VOC
P000421,2024,SCHOOL_VOC
P000422,2024,SCHOOL_VOC
P000423,2024,SCHOOL_VOC
P000425,2024,SCHOOL_VOC
P000427,2024,SCHOOL_VOC
P000431,2024,SCHOOL_VOC
P000436,2024,SCHOOL_VOC
P000438,2024,SCHOOL_VOC
P000439,2024,SCHOOL_VOC
P000446,2024,SCHOOL_VOC
P000448,2024,HIGHER_ED
P000450,2024,HIGHER_ED
P000451,2024,SCHOOL_VOC
P000453,2024,SCHOOL_VOC
P000454,2024,SCHOOL_VOC
P000460,2024,SCHOOL_VOC
P000462,2024,SCHOOL_VOC
P000463,2024,LOW_NONE
P000467,2024,HIGHER_ED
P000472,2024,SCHOOL_VOC
P000473,2024,SCHOOL_VOC
P000474,2024,SCHOOL_VOC
P000479,2024,LOW_NONE
P000487,2024,LOW_NONE
P000488,2024,SCHOOL_VOC
P000491,2024,SCHOOL_VOC
P000498,2024,SCHOOL_VOC
P000499,2024,SCHOOL_VOC
P000500,2024,SCHOOL_VOC
P000501,2024,SCHOOL_VOC
P000505,2024,SCHOOL_VOC
P000508,2024,SCHOOL_VOC
P000510,2024,HIGHER_ED
P000514,2024,SCHOOL_VOC
P000518,2024,SCHOOL_VOC
P000519,2024,SCHOOL_VOC
P000521,2024,SCHOOL_VOC
P000522,2024,SCHOOL_VOC
P000524,2024,SCHOOL_VOC
P000525,2024,LOW_NONE
P000528,2024,SCHOOL_VOC
P000532,2024,SCHOOL_VOC
P000534,2024,SCHOOL_VOC
P000536,2024,HIGHER_ED
P000539,2024,SCHOOL_VOC
P000540,2024,SCHOOL_VOC
P000541,2024,SCHOOL_VOC
P000551,2024,SCHOOL_VOC
P000552,2024,HIGHER_ED
P000560,2024,SCHOOL_VOC
P000564,2024,SCHOOL_VOC
P000569,2024,SCHOOL_VOC
P000572,2024,SCHOOL_VOC
P000574,2024,HIGHER_ED
P000585,2024,SCHOOL_VOC
P000586,2024,HIGHER_ED
P000599,2024,HIGHER_ED
P000601,2024,SCHOOL_VOC
P000609,2024,HIGHER_ED
P000613,2024,SCHOOL_VOC
P000614,2024,SCHOOL_VOC
P000618,2024,SCHOOL_VOC
P000624,2024,HIGHER_ED
P000625,2024,HIGHER_ED
P000630,2024,HIGHER_ED
P000633,2024,HIGHER_ED
P000636,2024,SCHOOL_VOC
P000637,2024,SCHOOL_VOC
P000640,2024,HIGHER_ED
P000641,2024,SCHOOL_VOC
P000643,2024,LOW_NONE
P000649,2024,HIGHER_ED
P000654,2024,SCHOOL_VOC
P000658,2024,SCHOOL_VOC
P000661,2024,SCHOOL_VOC
P000662,2024,UNMAPPED_GROUP
P000664,2024,HIGHER_ED
P000666,2024,LOW_NONE
P000668,2024,HIGHER_ED
P000670,2024,HIGHER_ED
P000672,2024,HIGHER_ED
P000673,2024,SCHOOL_VOC
P000676,2024,LOW_NONE
P000678,2024,SCHOOL_VOC
P000682,2024,SCHOOL_VOC
P000683,2024,SCHOOL_VOC
P000685,2024,SCHOOL_VOC
P000686,2024,SCHOOL_VOC
P000687,2024,HIGHER_ED
P000693,2024,SCHOOL_VOC
P000694,2024,LOW_NONE
P000699,2024,SCHOOL_VOC
P000701,2024,HIGHER_ED
P000702,2024,SCHOOL_VOC
P000704,2024,SCHOOL_VOC
P000709,2024,SCHOOL_VOC
P000716,2024,SCHOOL_VOC
P000717,2024,SCHOOL_VOC
P000718,2024,SCHOOL_VOC
P000720,2024,LOW_NONE
P000722,2024,SCHOOL_VOC
P000723,2024,HIGHER_ED
P000728,2024,HIGHER_ED
P000730,2024,SCHOOL_VOC
P000731,2024,SCHOOL_VOC
P000733,2024,HIGHER_ED
P000734,2024,SCHOOL_VOC
P000736,2024,SCHOOL_VOC
P000737,2024,SCHOOL_VOC
P000739,2024,SCHOOL_VOC
P000740,2024,SCHOOL_VOC
P000743,2024,SCHOOL_VOC
P000746,2024,HIGHER_ED
P000748,2024,SCHOOL_VOC
P000755,2024,SCHOOL_VOC
P000756,2024,HIGHER_ED
P000757,2024,SCHOOL_VOC
P000759,2024,LOW_NONE
P000761,2024,HIGHER_ED
P000763,2024,LOW_NONE
P000764,2024,LOW_NONE
P000765,2024,SCHOOL_VOC
P000767,2024,SCHOOL_VOC
P000768,2024,SCHOOL_VOC
P000773,2024,SCHOOL_VOC
P000783,2024,SCHOOL_VOC
P000784,2024,SCHOOL_VOC
P000786,2024,SCHOOL_VOC
P000787,2024,SCHOOL_VOC
P000792,2024,SCHOOL_VOC
P000793,2024,SCHOOL_VOC
P000798,2024,SCHOOL_VOC
P000801,2024,HIGHER_ED
P000803,2024,SCHOOL_VOC
P000811,2024,SCHOOL_VOC
P000813,2024,SCHOOL_VOC
P000815,2024,SCHOOL_VOC
P000817,2024,HIGHER_ED
P000818,2024,HIGHER_ED
P000824,2024,HIGHER_ED
P000825,2024,SCHOOL_VOC
P000828,2024,SCHOOL_VOC
P000829,2024,HIGHER_ED
P000834,2024,SCHOOL_VOC
P000838,2024,HIGHER_ED
P000843,2024,SCHOOL_VOC
P000844,2024,SCHOOL_VOC
P000845,2024,LOW_NONE
P000847,2024,SCHOOL_VOC
P000849,2024,SCHOOL_VOC
P000853,2024,HIGHER_ED
P000857,2024,HIGHER_ED
P000859,2024,LOW_NONE
P000860,2024,SCHOOL_VOC
P000861,2024,SCHOOL_VOC
P000867,2024,HIGHER_ED
P000870,2024,HIGHER_ED
P000871,2024,SCHOOL_VOC
P000873,2024,SCHOOL_VOC
P000874,2024,SCHOOL_VOC
P000875,2024,SCHOOL_VOC
P000877,2024,HIGHER_ED
P000880,2024,SCHOOL_VOC
P000881,2024,SCHOOL_VOC
P000884,2024,SCHOOL_VOC
P000885,2024,SCHOOL_VOC
P000886,2024,SCHOOL_VOC
P000890,2024,HIGHER_ED
P000892,2024,SCHOOL_VOC
P000895,2024,SCHOOL_VOC
P000901,2024,SCHOOL_VOC
P000902,2024,SCHOOL_VOC
P000904,2024,SCHOOL_VOC
P000905,2024,SCHOOL_VOC
P000908,2024,LOW_NONE
P000910,2024,SCHOOL_VOC
P000915,2024,SCHOOL_VOC
P000924,2024,SCHOOL_VOC
P000928,2024,SCHOOL_VOC
P000933,2024,LOW_NONE
P000938,2024,HIGHER_ED
P000943,2024,SCHOOL_VOC
P000951,2024,SCHOOL_VOC
P000952,2024,UNMAPPED_GROUP
P000959,2024,HIGHER_ED
P000960,2024,HIGHER_ED
P000962,2024,HIGHER_ED
P000964,2024,HIGHER_ED
P000966,2024,HIGHER_ED
P000968,2024,HIGHER_ED
P000969,2024,SCHOOL_VOC
P000973,2024,SCHOOL_VOC
P000977,2024,LOW_NONE
P000978,2024,SCHOOL_VOC
P000982,2024,LOW_NONE
P000986,2024,SCHOOL_VOC
P000987,2024,SCHOOL_VOC
P000988,2024,SCHOOL_VOC
