person_id,survey_year,education_code
P036574,2024,E2
P024369,2024,E2
P012500,2024,E2
P040237,2024,E2
P017699,2024,E3
P038764,2024,E1
P025777,2024,E4
P013029,2024,E2
P033954,2024,E4
P024803,2024,E2
P027915,2024,E3
P007559,2024,E3
P031728,2024,E3
P024939,2024,E1
P027878,2024,E3
P009610,2024,E3
P018837,2024,E4
P009863,2024,E3
P004396,2024,E1
P022603,2024,E2
P033998,2024,E4
P020866,2024,E1
P023574,2024,E2
P038928,2024,E2
P004052,2024,E4
P024404,2024,E3
P029267,2024,E1
P036147,2024,E2
P039488,2024,E5
P033437,2024,E4
P007692,2024,E2
P033880,2024,E2
P037034,2024,E2
P020523,2024,E4
P026117,2023,E3
P043028,2024,E3
P029621,2024,E2
P045692,2024,E3
P036954,2024,E4
P014173,2024,E2
P001316,2024,E3
P039030,2024,E1
P007214,2024,E2
P035924,2024,E2
P043946,2024,E2
P020386,2024,E3
P002218,2024,E1
P044351,2024,E5
P019142,2024,E5
P005047,2024,E2
P002533,2024,E3
P048884,2024,E2
P008471,2024,E1
P039322,2024,E3
P016832,2024,E1
P032321,2024,E5
P047128,2024,E2
P034205,2024,E3
P012263,2024,E3
P040746,2024,E2
P041283,2024,E1
P022215,2024,E3
P018787,2024,E3
P017664,2024,E4
P035885,2024,E2
P004678,2024,E6
P046391,2024,E3
P004241,2024,E3
P021701,2024,E2
P039844,2024,E2
P049683,2024,E3
P025274,2024,E2
P040557,2024,E2
P032675,2024,E2
P023263,2024,E2
P039573,2024,E4
P030827,2024,E3
P020394,2024,E3
P045843,2024,E3
P029834,2024,E3
P003017,2024,E2
P045828,2024,E4
P033362,2024,E4
P009439,2024,E4
P026747,2024,E3
P013840,2024,E5
P020555,2024,E3
P012369,2024,E3
P034061,2024,E4
P042384,2024,E4
P008433,2024,E5
P000613,2024,E2
P033165,2024,E4
P009403,2024,E4
P017479,2024,E3
P040065,2024,E3
P035635,2024,E3
P017048,2024,E4
P030656,2024,E5
P042594,2024,E4
P016137,2024,E3
P031798,2024,E3
P032587,2024,E3
P031533,2024,E4
P034791,2024,E4
P024291,2024,E3
P038197,2024,E4
P038025,2024,E2
P048092,2024,E2
P040083,2024,E2
P040490,2024,E3
P005324,2024,E3
P036536,2024,E5
P035665,2024,E3
P024681,2024,E4
P035008,2024,E3
P008730,2024,E1
P046340,2024,E2
P023368,2024,E4
P012459,2024,E2
P033200,2024,E4
P023513,2024,E3
P032339,2024,E4
P046571,2024,E3
P031050,2024,E3
P048797,2024,E5
P037417,2024,E3
P029004,2024,E3
P041657,2024,E3
P010174,2024,E2
P024988,2024,E4
P023431,2024,E1
P030088,2024,E2
P008025,2024,E3
P033909,2024,E3
P023046,2024,E2
P005603,2024,E3
P031435,2024,E3
P002073,2024,E2
P023795,2024,E3
P037688,2024,E3
P036714,2024,E2
P016591,2024,E3
P035255,2024,E3
P044122,2024,E4
P028184,2024,E2
P000433,2024,E2
P044830,2024,E2
P042890,2024,E1
P033504,2024,E3
P041560,2024,E4
P006044,2024,E1
P022924,2024,E2
P010762,2024,E3
P021431,2024,E2
P032401,2024,E4
P004159,2024,E1
P031787,2024,E4
P015687,2024,E2
P037968,2024,E2
P038288,2024,E5
P001870,2024,E3
P001687,2024,E3
P007943,2024,E3
P017042,2024,E5
P036379,2024,E1
P028058,2024,E3
P007341,2024,E4
P032064,2024,E2
P043922,2024,E5
P042658,2024,E3
P036116,2024,E3
P026881,2024,E3
P035605,2024,E3
P007236,2024,E3
P016535,2024,E2
P023747,2024,E1
P003948,2024,E3
P028314,2024,E4
P036576,2024,E3
P015607,2024,E4
P008928,2024,E3
P009391,2024,E3
P025508,2024,E4
P013974,2024,E5
P045147,2024,E3
P017318,2024,E2
P024953,2024,E2
P008164,2024,E3
P037560,2024,E3
P017722,2024,E1
P040301,2024,E2
P010504,2024,E1
P043554,2024,E3
P033323,2024,E4
P000723,2024,E4
P036066,2024,E1
P019105,2024,E2
P005219,2024,E2
P047278,2024,E3
P024773,2024,E3
P027047,2024,E3
P041769,2024,E2
P045644,2024,E4
P006286,2024,E3
P010360,2024,E2
P041368,2024,E4
P009949,2024,E1
P006774,2024,E3
P045519,2024,E2
P005815,2024,E5
P041804,2024,E4
P043007,2024,E3
P047476,2024,E2
P047186,2024,E2
P002086,2024,E4
P021493,2024,E5
P017769,2024,E4
P018195,2024,E2
P022116,2024,E2
P046517,2024,E2
P017346,2024,E4
P042312,2024,E5
P012746,2024,E5
P004804,2024,E1
P038236,2024,E3
P037205,2024,E2
P039615,2024,E1
P017868,2024,E2
P020350,2024,E4
P004333,2024,E3
P002474,2024,E3
P047317,2024,E1
P022439,2024,E4
P015483,2024,E4
P024434,2024,E3
P016221,2024,E2
P034149,2024,E3
P032365,2024,E2
P049435,2024,E2
P045480,2024,E2
P009297,2024,E3
P047311,2024,E5
P007610,2024,E2
P020573,2024,E3
P049687,2024,E1
P008227,2024,E4
P016673,2024,E2
P014230,2024,E3
P022436,2024,E3
P026140,2024,E1
P047546,2024,E5
P046464,2024,E5
P015023,2024,E3
P038018,2024,
P042835,2024,E5
P037458,2024,E3
P007116,2024,E4
P001496,2024,E2
P028163,2024,E2
P042685,2024,E4
P004881,2024,E5
P047474,2023,E3
P027384,2024,E2
P012510,2024,E2
P010650,2024,E1
P035690,2024,E2
P045332,2024,E3
P014232,2024,E3
P031645,2024,E2
P024652,2024,E2
P041500,2024,E2
P037173,2024,E2
P026368,2024,E3
P031745,2024,E3
P012816,2024,E3
P001313,2024,E2
P048647,2024,E2
P019628,2024,E3
P039632,2024,E3
P019011,2024,E2
P047390,2024,E2
P004604,2024,E4
P029495,2024,E3
P049418,2024,E2
P003803,2024,E3
P017004,2024,E3
P025381,2024,E3
P010817,2024,E4
P012629,2024,E3
P003769,2024,E2
P018876,2024,E3
P041510,2024,E1
P024928,2024,E3
P020307,2024,E3
P021225,2024,E2
P031744,2024,E4
P020548,2024,E3
P016857,2024,E2
P007602,2024,E2
P033308,2024,E3
P028548,2024,E3
P004382,2024,E3
P007536,2024,E5
P026737,2024,E2
P013926,2024,E2
P021381,2024,E5
P034865,2024,E1
P029851,2024,E3
P038266,2024,E2
P016762,2024,E2
P040036,2024,E3
P023956,2024,E2
P030373,2024,E3
P044129,2024,E3
P046848,2024,E2
P043077,2024,E3
P046594,2024,E4
,2024,E3
P029005,2024,E3
P005928,2024,E3
P043750,2024,E3
P024614,2024,E5
P011653,2024,E4
P022053,2024,E6
P040336,2024,E3
P012975,2024,E5
P017267,2024,E2
P009740,2024,E5
P009196,2024,E4
P027789,2024,E3
P047521,2024,E2
P009758,2024,E3
P032369,2024,E3
P005142,2024,E3
P035501,2024,E3
P030670,2024,E4
P017237,2024,E1
P032472,2024,E3
P031353,2024,E3
P003018,2024,E3
P023694,2024,E3
P021739,2024,E4
P004828,2024,E4
P005240,2024,E1
P028785,2024,E3
P045462,2024,E3
P024617,2024,E3
P005584,2024,E2
P048708,2024,E3
P036763,2024,E3
P025563,2024,E3
P045011,2024,E3
P019671,2024,E2
P045312,2024,E4
P004069,2024,E2
P006828,2024,E3
P027488,2024,E3
P009193,2024,E4
P038405,2024,E2
P009117,2024,E1
P004425,2024,E3
P034736,2024,E4
P045385,2024,E3
P040865,2024,E4
P043786,2024,E3
P028517,2024,E1
P004487,2024,E2
P000196,2024,E3
P042411,2024,
P008997,2024,E5
P010519,2024,E3
P045115,2024,E5
P038978,2024,E2
P017275,2024,E4
P027266,2024,E3
P000024,2024,E2
P043116,2024,E2
P000636,2024,E3
P016927,2024,E3
P034790,2024,E3
P028047,2024,E6
P029166,2024,E4
P027720,2024,E3
P025689,2024,E5
P007057,2024,E2
P010209,2024,E2
P026908,2024,E3
P034740,2024,E2
P038763,2024,E3
P032023,2024,E3
P045714,2024,E3
P004790,2024,E3
P007756,2024,E3
P034429,2024,E3
P036753,2024,E2
P041819,2024,E5
P035942,2024,E3
P000163,2024,E4
P023566,2024,E3
P043231,2024,E2
P005057,2024,E2
P025606,2024,E1
P006656,2024,E2
P004284,2024,E6
P037028,2024,E5
P037805,2024,E2
P007512,2024,E4
P034229,2024,E2
P032599,2024,E3
P031391,2024,E4
P022321,2024,E2
P019301,2024,E2
P036345,2024,E3
P003133,2024,E3
P009518,2024,E2
P023047,2024,E4
P010559,2024,E2
P008584,2024,E4
P033372,2024,E2
P041734,2024,E4
P048569,2024,
P025336,2024,E3
P013506,2024,E1
P009515,2024,E4
P028077,2024,E3
P009897,2024,E2
P040997,2024,E3
P003911,2024,E3
P045596,2024,E6
P002601,2024,E3
P009569,2024,E3
P012325,2024,E3
P002211,2024,E4
P035945,2024,E4
P028658,2024,E3
P014102,2024,E3
P035539,2024,E3
P045653,2024,E2
P047595,2024,E2
P026608,2024,E3
P015946,2024,E3
P008555,2024,E3
P030812,2024,E4
P026878,2024,E2
