person_id,reference_year,age_at_reference_year,true_attainment_level,true_attainment_label
P000001,2022,47,1,low_or_none
P000001,2024,49,1,low_or_none
P000002,2022,92,2,school_qualification
P000002,2024,94,2,school_qualification
P000003,2022,19,1,low_or_none
P000003,2024,21,1,low_or_none
P000005,2022,52,3,vocational_or_postsecondary
P000005,2024,54,3,vocational_or_postsecondary
P000006,2022,46,3,vocational_or_postsecondary
P000006,2024,48,3,vocational_or_postsecondary
P000007,2022,56,3,vocational_or_postsecondary
P000007,2024,58,3,vocational_or_postsecondary
P000008,2022,73,2,school_qualification
P000008,2024,75,2,school_qualification
P000009,2022,15,2,school_qualification
P000009,2024,17,2,school_qualification
P000010,2022,31,3,vocational_or_postsecondary
P000010,2024,33,3,vocational_or_postsecondary
P000011,2022,54,2,school_qualification
P000011,2024,56,2,school_qualification
P000012,2022,43,1,low_or_none
P000012,2024,45,1,low_or_none
P000013,2022,63,3,vocational_or_postsecondary
P000013,2024,65,3,vocational_or_postsecondary
P000014,2022,20,4,bachelor_or_equivalent
P000014,2024,22,5,master_or_equivalent
P000015,2022,58,1,low_or_none
P000015,2024,60,1,low_or_none
P000016,2022,41,5,master_or_equivalent
P000016,2024,43,5,master_or_equivalent
P000017,2022,42,3,vocational_or_postsecondary
P000017,2024,44,3,vocational_or_postsecondary
P000018,2022,40,3,vocational_or_postsecondary
P000018,2024,42,3,vocational_or_postsecondary
P000019,2022,44,2,school_qualification
P000019,2024,46,2,school_qualification
P000020,2022,71,3,vocational_or_postsecondary
P000020,2024,73,3,vocational_or_postsecondary
P000021,2024,16,2,school_qualification
P000022,2022,70,3,vocational_or_postsecondary
P000022,2024,72,3,vocational_or_postsecondary
P000023,2022,79,4,bachelor_or_equivalent
P000023,2024,81,4,bachelor_or_equivalent
P000025,2022,74,1,low_or_none
P000025,2024,76,1,low_or_none
P000026,2022,15,1,low_or_none
P000026,2024,17,1,low_or_none
P000027,2022,15,2,school_qualification
P000027,2024,17,3,vocational_or_postsecondary
P000028,2022,52,4,bachelor_or_equivalent
P000028,2024,54,4,bachelor_or_equivalent
P000029,2022,75,2,school_qualification
P000029,2024,77,2,school_qualification
P000033,2022,32,2,school_qualification
P000033,2024,34,2,school_qualification
P000034,2022,23,3,vocational_or_postsecondary
P000034,2024,25,4,bachelor_or_equivalent
P000035,2022,28,5,master_or_equivalent
P000035,2024,30,5,master_or_equivalent
P000036,2022,44,2,school_qualification
P000036,2024,46,2,school_qualification
P000037,2022,20,3,vocational_or_postsecondary
P000037,2024,22,3,vocational_or_postsecondary
P000039,2022,34,2,school_qualification
P000039,2024,36,2,school_qualification
P000041,2022,57,3,vocational_or_postsecondary
P000041,2024,59,3,vocational_or_postsecondary
P000042,2022,27,2,school_qualification
P000042,2024,29,2,school_qualification
P000043,2022,43,6,doctorate
P000043,2024,45,6,doctorate
P000044,2022,91,1,low_or_none
P000044,2024,93,1,low_or_none
P000045,2022,23,2,school_qualification
P000045,2024,25,3,vocational_or_postsecondary
P000047,2022,68,3,vocational_or_postsecondary
P000047,2024,70,3,vocational_or_postsecondary
P000048,2022,48,3,vocational_or_postsecondary
P000048,2024,50,3,vocational_or_postsecondary
P000049,2022,48,2,school_qualification
P000049,2024,50,2,school_qualification
P000050,2022,16,1,low_or_none
P000050,2024,18,1,low_or_none
P000051,2022,92,2,school_qualification
P000051,2024,94,2,school_qualification
P000053,2022,30,2,school_qualification
P000053,2024,32,3,vocational_or_postsecondary
P000054,2022,51,3,vocational_or_postsecondary
P000054,2024,53,3,vocational_or_postsecondary
P000055,2022,75,2,school_qualification
P000055,2024,77,2,school_qualification
P000056,2022,55,3,vocational_or_postsecondary
P000056,2024,57,3,vocational_or_postsecondary
P000058,2022,29,5,master_or_equivalent
P000058,2024,31,5,master_or_equivalent
