person_id,reference_year,highest_qualification
P015976,2022,NONE_LOW
P017972,2022,BACHELOR_EQ
P037468,2022,DOCTORATE
P034655,2022,VOC_POSTSEC
P011452,2022,BACHELOR_EQ
P023431,2022,NONE_LOW
P043276,2022,VOC_POSTSEC
P008476,2022,MASTER_EQ
P017250,2022,NONE_LOW
P008266,2022,BACHELOR_EQ
P022194,2021,VOC_POSTSEC
P003836,2022,VOC_POSTSEC
P028917,2022,SCHOOL
P022432,2022,VOC_POSTSEC
P019597,2022,VOC_POSTSEC
P041864,2022,VOC_POSTSEC
P001279,2022,SCHOOL
P014347,2022,BACHELOR_EQ
P006124,2022,NONE_LOW
P049375,2022,SCHOOL
P008979,2022,SCHOOL
P012566,2022,BACHELOR_EQ
P000169,2022,NONE_LOW
P041535,2022,SCHOOL
P029899,2022,SCHOOL
P002327,2022,SCHOOL
P022709,2022,BACHELOR_EQ
P006541,2022,SCHOOL
P032281,2022,BACHELOR_EQ
P029311,2022,VOC_POSTSEC
P022918,2022,VOC_POSTSEC
P000360,2022,VOC_POSTSEC
P041881,2022,SCHOOL
P023734,2022,BACHELOR_EQ
P036281,2022,SCHOOL
P015322,2022,VOC_POSTSEC
P041212,2022,BACHELOR_EQ
P000713,2022,SCHOOL
P027100,2022,BACHELOR_EQ
P038453,2022,SCHOOL
P015934,2022,SCHOOL
P009062,2022,BACHELOR_EQ
P046982,2022,SCHOOL
P046447,2022,VOC_POSTSEC
P002495,2022,BACHELOR_EQ
P026578,2022,SCHOOL
P001668,2022,MASTER_EQ
P049520,2022,BACHELOR_EQ
P018391,2022,VOC_POSTSEC
P013316,2022,VOC_POSTSEC
P012200,2022,SCHOOL
P003261,2022,BACHELOR_EQ
P016646,2022,SCHOOL
P048102,2022,SCHOOL
P017791,2022,SCHOOL
P021596,2022,VOC_POSTSEC
P016982,2022,BACHELOR_EQ
P013177,2022,NONE_LOW
P009702,2022,VOC_POSTSEC
P042854,2022,SCHOOL
P035043,2022,VOC_POSTSEC
P037197,2022,VOC_POSTSEC
P024907,2022,VOC_POSTSEC
P022260,2022,VOC_POSTSEC
P019399,2022,VOC_POSTSEC
P047584,2022,VOC_POSTSEC
P015039,2022,VOC_POSTSEC
P039412,2022,SCHOOL
P009785,2022,NONE_LOW
P029491,2022,NONE_LOW
P014491,2022,BACHELOR_EQ
P011483,2022,VOC_POSTSEC
P033619,2022,NONE_LOW
P026535,2022,VOC_POSTSEC
P013771,2022,SCHOOL
P044209,2022,VOC_POSTSEC
P041044,2022,NONE_LOW
P045302,2022,VOC_POSTSEC
P046812,2022,SCHOOL
P031007,2022,VOC_POSTSEC
P042426,2022,VOC_POSTSEC
P003369,2022,VOC_POSTSEC
P041874,2022,BACHELOR_EQ
P027884,2022,VOC_POSTSEC
P002712,2022,MASTER_EQ
P037605,2022,BACHELOR_EQ
P020755,2022,VOC_POSTSEC
P048086,2022,SCHOOL
P024982,2022,NONE_LOW
P038089,2022,SCHOOL
P011075,2022,NONE_LOW
P006353,2022,VOC_POSTSEC
P013476,2022,BACHELOR_EQ
P043491,2022,VOC_POSTSEC
P034798,2022,VOC_POSTSEC
P006857,2022,MASTER_EQ
P007221,2022,NONE_LOW
P037938,2022,VOC_POSTSEC
P023753,2022,SCHOOL
P023656,2022,VOC_POSTSEC
P045842,2022,DOCTORATE
P028020,2022,SCHOOL
P048307,2022,SCHOOL
P037285,2022,VOC_POSTSEC
P040322,2022,SCHOOL
P031710,2022,VOC_POSTSEC
P037169,2022,MASTER_EQ
P035238,2022,VOC_POSTSEC
P000708,2022,BACHELOR_EQ
P018667,2022,SCHOOL
P032186,2022,VOC_POSTSEC
P014228,2022,SCHOOL
P003608,2022,SCHOOL
P044010,2022,VOC_POSTSEC
P028000,2022,DOCTORATE
P012729,2022,SCHOOL
P011906,2022,VOC_POSTSEC
P018208,2022,SCHOOL
P022596,2022,SCHOOL
P013514,2022,MASTER_EQ
P037850,2022,VOC_POSTSEC
P049500,2022,SCHOOL
P036391,2022,BACHELOR_EQ
P043369,2022,SCHOOL
P046026,2022,MASTER_EQ
P033345,2022,SCHOOL
P030363,2022,BACHELOR_EQ
P000675,2022,VOC_POSTSEC
P004398,2022,VOC_POSTSEC
P030008,2022,BACHELOR_EQ
P030844,2022,VOC_POSTSEC
P009379,2022,MASTER_EQ
P022274,2022,VOC_POSTSEC
P030339,2022,SCHOOL
P023195,2022,NONE_LOW
P013969,2022,DOCTORATE
P047993,2022,BACHELOR_EQ
P012927,2022,VOC_POSTSEC
P012563,2022,
P023012,2022,BACHELOR_EQ
P019743,2022,SCHOOL
P021307,2022,MASTER_EQ
P001876,2022,VOC_POSTSEC
P042430,2022,VOC_POSTSEC
P007347,2022,VOC_POSTSEC
P044314,2022,SCHOOL
P047783,2022,VOC_POSTSEC
P017619,2022,VOC_POSTSEC
P012585,2022,SCHOOL
P029534,2022,SCHOOL
P000417,2022,BACHELOR_EQ
P016260,2022,VOC_POSTSEC
P039806,2022,SCHOOL
