analysis_address_id,analysis_region_code,analysis_municipality_code,observed_persons,registered_persons,auxiliary_only_persons,persons_with_positive_activity,persons_with_multiple_positive_signals,persons_with_address_conflict,clarification_cases
A000094,R01,R01-M01,4,4,0,3,0,0,0
A000102,R01,R01-M01,2,2,0,2,0,0,0
A000114,R01,R01-M01,1,1,0,1,0,0,0
A000129,R01,R01-M01,4,4,0,1,1,0,0
A000191,R01,R01-M01,4,3,1,2,0,0,1
A000205,R01,R01-M01,2,2,0,1,0,0,0
A000229,R01,R01-M01,3,3,0,3,2,0,0
A000240,R01,R01-M01,4,4,0,1,0,0,0
A000246,R01,R01-M01,2,2,0,2,0,0,0
A000250,R01,R01-M01,5,5,0,4,0,0,0
A000278,R01,R01-M01,1,1,0,1,1,0,0
A000292,R01,R01-M01,6,6,0,3,1,0,0
A000298,R01,R01-M01,5,5,0,4,2,0,0
A000363,R01,R01-M01,2,2,0,2,0,0,1
A000402,R01,R01-M01,2,2,0,2,1,0,0
A000583,R01,R01-M01,2,2,0,1,1,0,0
A000617,R01,R01-M01,2,2,0,0,0,0,0
A000637,R01,R01-M01,4,4,0,3,2,0,1
A000737,R01,R01-M01,1,1,0,0,0,0,0
A000787,R01,R01-M01,11,11,0,9,2,0,0
A000902,R01,R01-M01,5,3,2,5,1,0,2
A000907,R01,R01-M01,5,4,1,3,1,0,1
A000916,R01,R01-M01,3,3,0,0,0,0,0
A000932,R01,R01-M01,1,1,0,1,1,0,0
A001015,R01,R01-M01,1,1,0,1,0,0,0
A001120,R01,R01-M01,1,1,0,0,0,0,0
A001129,R01,R01-M01,4,4,0,4,0,0,0
A001203,R01,R01-M01,7,7,0,3,0,0,0
A001346,R01,R01-M01,1,1,0,1,0,0,1
A001499,R01,R01-M01,4,4,0,2,1,0,0
A001562,R01,R01-M01,2,2,0,1,0,0,0
A001573,R01,R01-M01,2,2,0,1,0,0,0
A001592,R01,R01-M01,1,0,1,1,0,0,1
A001620,R01,R01-M01,4,4,0,4,2,1,1
A001733,R01,R01-M01,1,1,0,1,0,0,0
A001744,R01,R01-M01,1,1,0,1,0,0,0
A001752,R01,R01-M01,1,1,0,1,1,0,0
A001867,R01,R01-M01,9,9,0,5,1,0,0
A001884,R01,R01-M01,2,2,0,2,0,0,0
A001940,R01,R01-M01,1,1,0,1,1,0,0
A002008,R01,R01-M01,1,1,0,1,0,0,0
A002032,R01,R01-M01,10,10,0,7,1,0,0
A002039,R01,R01-M01,2,2,0,1,0,0,0
A002067,R01,R01-M01,11,11,0,9,6,1,1
A002088,R01,R01-M01,8,8,0,4,0,0,0
A002230,R01,R01-M01,3,3,0,2,1,0,0
A002284,R01,R01-M01,2,2,0,1,0,0,0
A002344,R01,R01-M01,1,1,0,1,0,0,0
A002412,R01,R01-M01,2,2,0,0,0,0,0
A002600,R01,R01-M01,3,3,0,1,1,0,0
A002612,R01,R01-M01,2,2,0,2,1,0,0
A002678,R01,R01-M01,4,4,0,1,0,0,0
A002718,R01,R01-M01,5,5,0,4,1,0,0
A002755,R01,R01-M01,8,6,2,7,1,0,2
A002804,R01,R01-M01,2,2,0,2,1,0,0
A002806,R01,R01-M01,4,4,0,1,0,0,0
A002911,R01,R01-M01,5,4,1,4,2,1,2
A002916,R01,R01-M01,1,1,0,1,0,0,0
A002918,R01,R01-M01,7,7,0,7,5,0,0
A002941,R01,R01-M01,2,2,0,2,0,0,0
A002959,R01,R01-M01,4,4,0,3,2,0,0
A003041,R01,R01-M01,8,8,0,4,1,0,0
A003115,R01,R01-M01,7,7,0,5,1,0,1
A003124,R01,R01-M01,1,1,0,1,0,0,0
A003131,R01,R01-M01,10,10,0,4,1,0,0
A003137,R01,R01-M01,3,3,0,3,1,0,0
A003175,R01,R01-M01,2,2,0,1,0,0,0
A003180,R01,R01-M01,9,9,0,7,3,0,0
A003196,R01,R01-M01,2,2,0,0,0,0,0
A003306,R01,R01-M01,1,1,0,1,0,0,0
A003365,R01,R01-M01,10,9,1,7,3,0,1
A003391,R01,R01-M01,4,4,0,3,1,0,2
A003397,R01,R01-M01,5,5,0,3,1,0,0
A003405,R01,R01-M01,2,2,0,2,0,0,0
A003465,R01,R01-M01,6,6,0,2,1,0,0
A003483,R01,R01-M01,8,8,0,4,4,0,0
A003636,R01,R01-M01,6,6,0,5,2,0,0
A003729,R01,R01-M01,4,4,0,3,3,0,0
