person_id,school_year,enrolment_flag,institution_type,contact_address_id
P000003,2025/2026,1,vocational_school,A003297
P000009,2025/2026,1,vocational_school,A006180
P000014,2025/2026,1,vocational_school,A015571
P000024,2025/2026,1,school,A004372
P000026,2025/2026,1,vocational_school,A005411
P000027,2025/2026,1,university,A005411
P000031,2025/2026,1,school,A004678
P000032,2025/2026,1,school,A010750
P000046,2025/2026,1,vocational_school,A001555
P000052,2025/2026,1,school,A010120
P000057,2025/2026,1,school,A016558
P000070,2025/2026,1,school,A002755
P000071,2025/2026,1,school,A006232
P000077,2025/2026,1,vocational_school,A012888
P000090,2025/2026,1,school,A017235
P000098,2025/2026,1,vocational_school,A010188
P000108,2025/2026,1,school,A013983
P000110,2025/2026,1,vocational_school,A009036
P000118,2025/2026,1,school,A012903
P000125,2025/2026,1,school,A001573
P000126,2025/2026,1,vocational_school,A012998
P000128,2025/2026,1,school,A012998
P000131,2025/2026,1,school,A004055
P000136,2025/2026,1,school,A007086
P000152,2025/2026,1,school,A005108
P000154,2025/2026,1,school,A002896
P000159,2025/2026,1,school,A015604
P000161,2025/2026,1,school,A015604
P000162,2025/2026,1,school,A017454
P000183,2025/2026,1,school,A005158
P000187,2025/2026,1,school,A005688
P000190,2025/2026,1,school,A015620
P000192,2025/2026,1,university,A017749
P000195,2025/2026,1,vocational_school,A002791
P000202,2025/2026,1,school,A014681
P000207,2025/2026,1,school,A005125
P000214,2025/2026,1,school,A012717
P000224,2025/2026,1,vocational_school,A008195
P000228,2025/2026,1,university,A010558
P000250,2025/2026,1,vocational_school,A006151
P000257,2025/2026,1,university,A006787
P000260,2025/2026,1,school,A002105
P000278,2025/2026,1,school,A006643
P000280,2025/2026,1,school,A000978
P000282,2025/2026,1,vocational_school,A000978
P000284,2025/2026,1,vocational_school,A012971
P000288,2025/2026,1,school,A006910
P000293,2025/2026,1,school,A006143
P000297,2025/2026,1,vocational_school,A006732
P000298,2025/2026,1,school,A004113
P000300,2025/2026,1,school,A012876
P000328,2025/2026,1,school,A004595
P000333,2025/2026,1,school,A013948
P000334,2025/2026,1,school,A008249
P000349,2025/2026,1,school,A001139
P000355,2025/2026,1,school,A003439
P000362,2025/2026,1,vocational_school,A016774
P000374,2025/2026,1,vocational_school,A017700
P000376,2025/2026,1,school,A017700
P000383,2025/2026,1,university,
P000391,2025/2026,1,vocational_school,A015258
P000392,2025/2026,1,vocational_school,A017465
P000394,2025/2026,1,school,A017465
P000402,2025/2026,1,school,A007247
P000403,2025/2026,1,school,A007247
P000407,2025/2026,1,school,A006233
P000409,2025/2026,1,school,A001049
P000421,2025/2026,1,school,A001789
P000424,2025/2026,1,school,A000238
P000425,2025/2026,1,vocational_school,A005257
P000434,2025/2026,1,university,A006476
P000435,2025/2026,1,vocational_school,A016899
P000451,2025/2026,1,school,A002806
P000452,2025/2026,1,school,A008503
P000454,2025/2026,1,school,A014888
P000456,2025/2026,1,vocational_school,A013047
