person_id,ref_date,employment_status,days_employed_last_12m,annual_employment_income,contact_address_id
P000002,2025-12-31,employed,340,13464.63,A010981
P000005,2025-12-31,employed,319,31590.31,A017169
P000008,2025-12-31,marginal,79,6217.17,A017169
P000011,2025-12-31,employed,358,18946.7,A002290
P000014,2025-12-31,employed,353,38680.25,A004368
P000020,2025-12-31,self_employed,365,9296.59,NA
P000021,2025-12-31,employed,279,32317.03,A006795
P000024,2025-12-31,employed,297,45616.13,A002416
P000026,2025-12-31,employed,280,31530.5,A008359
P000027,2025-12-31,employed,289,23699.11,A012972
P000028,2025-12-31,employed,192,23681.73,A012972
P000030,2025-12-31,employed,160,28872.58,A005056
P000032,2025-12-31,employed,288,22753.17,A005056
P000033,2025-12-31,employed,266,23731.45,A005056
P000034,2025-12-31,employed,234,26757.39,A003866
P000035,2025-12-31,employed,177,12089.07,A017543
P000038,2025-12-31,employed,224,13803.93,A016319
P000041,2025-12-31,employed,339,24510.8,A004350
P000043,2025-12-31,employed,365,18932.46,A004350
P000046,2025-12-31,employed,129,21072.54,A002969
P000048,2025-12-31,self_employed,143,29751.25,A014723
P000052,2025-12-31,employed,318,27930.47,A007451
P000053,2025-12-31,employed,289,26015.5,A008803
P000054,2025-12-31,employed,332,26933.97,A008803
P000055,2025-12-31,employed,275,20984.28,A008803
P000056,2025-12-31,marginal,139,4674.91,A009274
P000057,2025-12-31,employed,305,36031.61,A009274
P000058,2025-12-31,employed,317,37064.28,A009274
P000059,2025-12-31,employed,356,35207.35,A009274
P000061,2025-12-31,self_employed,266,79842.53,A007893
P000062,2025-12-31,employed,287,36263.02,A004085
P000064,2025-12-31,employed,315,29492.91,A005370
P000065,2025-12-31,employed,303,18186.09,A016833
P000066,2025-12-31,employed,302,40463.66,A009676
P000067,2025-12-31,employed,314,50650.71,A009676
P000068,2025-12-31,employed,365,21731.46,A003304
P000073,2025-12-31,marginal,80,NA,A017614
P000074,2025-12-31,self_employed,325,21195.95,A017614
P000076,2025-12-31,employed,228,49154.55,A008265
P000078,2025-12-31,employed,265,16754.97,A009581
P000080,2025-12-31,self_employed,364,19783.72,A009581
P000083,2025-12-31,self_employed,220,44973.49,A012823
P000084,2025-12-31,employed,294,17850.24,A012823
P000085,2025-12-31,employed,133,11487.7,A007455
P000088,2025-12-31,self_employed,217,13612.49,A011329
P000090,2025-12-31,employed,304,16865.11,A012796
P000093,2025-12-31,self_employed,304,13120.01,A016558
P000095,2025-12-31,self_employed,315,101666.58,A003478
P000096,2025-12-31,employed,326,24171.43,A008904
P000099,2025-12-31,employed,272,41581.39,A010646
P000101,2025-12-31,employed,277,15575.28,A008918
P000102,2025-12-31,employed,219,16446.37,A017688
P000106,2025-12-31,no_record,0,0,A000477
P000108,2025-12-31,employed,365,16194.03,A001838
P000109,2025-12-31,employed,258,22502.04,A001838
P000110,2025-12-31,employed,297,33323.98,A001838
P000112,2025-12-31,marginal,125,6674.73,A000520
P000119,2025-12-31,self_employed,216,87989.92,A013812
P000121,2025-12-31,employed,356,13554.93,A013812
P000122,2025-12-31,employed,333,29881.12,A012040
P000123,2025-12-31,employed,204,37023.96,A012040
P000124,2025-12-31,employed,247,17874.18,A016533
P000126,2025-12-31,employed,336,15771.16,A017657
P000127,2025-12-31,marginal,140,3246.15,A001174
P000128,2025-12-31,no_record,0,0,A001174
P000130,2025-12-31,employed,316,35746.27,NA
P000133,2025-12-31,employed,170,43439.25,A015578
P000134,2025-12-31,self_employed,218,11440.91,A015578
P000136,2025-12-31,employed,158,27283.68,A005839
P000140,2025-12-31,employed,262,19950.98,A014000
P000141,2025-12-31,self_employed,295,12662.22,A014000
P000142,2025-12-31,employed,312,45405.93,A002204
P000144,2025-12-31,employed,299,79825.37,A011574
P000146,2025-12-31,employed,269,21530.12,A010840
P000147,2025-12-31,employed,280,29375.87,A003267
P000149,2025-12-31,employed,259,14086.39,A003267
P000150,2025-12-31,employed,254,32038.57,A003267
P000152,2025-12-31,employed,365,26673.64,A005363
P000153,2025-12-31,employed,319,34926.65,A009327
P000158,2025-12-31,no_record,0,0,A002347
P000161,2025-12-31,self_employed,365,50357.88,A016810
P000163,2025-12-31,employed,241,25252.69,A000107
P000165,2025-12-31,marginal,198,5380.92,A003098
P000168,2025-12-31,employed,319,13320.52,A003098
P000170,2025-12-31,marginal,123,5687,A003098
P000171,2025-12-31,employed,314,23414.13,A010142
P000172,2025-12-31,employed,238,28357.43,A010142
P000176,2025-12-31,marginal,119,3682.41,NA
P000177,2025-12-31,marginal,134,4576.57,A006769
P000179,2025-12-31,no_record,NA,0,A002934
P000180,2025-12-31,employed,170,32379.52,A002934
P000181,2025-12-31,employed,243,18727.13,A002934
P000184,2025-12-31,employed,225,20992.84,A002560
P000186,2025-12-31,employed,308,21635.11,A013125
P000187,2025-12-31,self_employed,222,3820.86,A010150
P000190,2025-12-31,employed,365,35602.96,A001317
P000191,2025-12-31,marginal,174,7143.55,A001317
P000193,2025-12-31,employed,250,22711.34,A013618
P000194,2025-12-31,employed,157,12953.39,A013618
P000198,2025-12-31,employed,307,62577.68,A006679
P000199,2025-12-31,employed,313,37534.59,A000126
P000200,2025-12-31,employed,292,21850.35,A017322
P000204,2025-12-31,employed,290,30668.24,A013502
P000205,2025-12-31,marginal,124,3356.81,A013502
P000206,2025-12-31,employed,203,36181.71,A002525
P000208,2025-12-31,no_record,0,0,A004133
P000210,2025-12-31,employed,321,24592.8,NA
P000213,2025-12-31,employed,296,36131.35,A012184
P000217,2025-12-31,employed,344,32545.37,A009981
P000220,2025-12-31,employed,280,35186.3,A009981
P000221,2025-12-31,employed,336,19433.86,A005528
P000222,2025-12-31,employed,307,15033.73,A005528
P000226,2025-12-31,employed,365,12243.41,A005910
P000228,2025-12-31,employed,311,18328.19,A011621
P000229,2025-12-31,employed,246,91030.19,A011621
P000230,2025-12-31,employed,365,39923.33,A002007
P000231,2025-12-31,employed,365,25087.77,A002007
P000232,2025-12-31,marginal,96,3267.83,A001289
P000234,2025-12-31,no_record,0,0,A014333
P000236,2025-12-31,employed,284,30087.71,A008903
P000237,2025-12-31,self_employed,351,40971.71,A010066
P000238,2025-12-31,marginal,96,5711.47,A006309
P000239,2025-12-31,marginal,152,4125.98,A011587
P000241,2025-12-31,employed,230,31721.48,A014606
P000246,2025-12-31,self_employed,165,15090.18,A004264
P000255,2025-12-31,marginal,87,5492.6,A016675
P000260,2025-12-31,employed,193,50954.52,A013469
P000261,2025-12-31,employed,292,46717.4,A013469
P000263,2025-12-31,employed,271,43208.67,A000355
P000267,2025-12-31,employed,323,18978.14,A013968
P000268,2025-12-31,self_employed,167,52485.41,A001567
P000271,2025-12-31,marginal,161,5208.49,A006139
P000274,2025-12-31,employed,365,40300.36,A009485
P000275,2025-12-31,self_employed,285,10371.17,A007284
P000277,2025-12-31,employed,360,16819.67,A012089
P000279,2025-12-31,employed,365,25522.11,A001680
P000283,2025-12-31,marginal,97,3333.94,A016112
P000285,2025-12-31,self_employed,365,17926.24,A004390
P000287,2025-12-31,marginal,138,4002.58,A013193
P000288,2025-12-31,employed,206,20140.54,A013614
P000290,2025-12-31,self_employed,266,9079.45,A013077
P000293,2025-12-31,employed,285,36842.42,A013077
P000298,2025-12-31,employed,292,31248.3,NA
P000300,2025-12-31,employed,265,28145.5,A012422
P000307,2025-12-31,employed,365,26255.92,A017084
P000308,2025-12-31,employed,243,38955.6,A013738
P000309,2025-12-31,marginal,147,3511.39,A013738
P000310,2025-12-31,employed,198,17750.71,A013738
P000312,2025-12-31,self_employed,279,22617.31,A016080
P000313,2025-12-31,employed,277,30323.86,A011516
P000316,2025-12-31,marginal,5,3097,A012232
P000317,2025-12-31,employed,180,49025.53,A017526
P000321,2025-12-31,employed,182,10689.83,A008617
P000322,2025-12-31,marginal,121,7635.86,A008255
P000323,2025-12-31,employed,352,19576.03,A013646
P000326,2025-12-31,marginal,44,6769.9,A008509
P000327,2025-12-31,employed,308,27970.55,A005980
P000329,2025-12-31,employed,187,68269.1,A008533
P000330,2025-12-31,employed,338,19216.44,A008533
P000333,2025-12-31,employed,308,26223.37,A012219
P000334,2025-12-31,employed,303,19416.75,A012219
P000335,2025-12-31,employed,242,17979.89,A012219
P000340,2025-12-31,self_employed,247,15696.12,NA
P000344,2025-12-31,no_record,0,0,A005674
P000348,2025-12-31,self_employed,186,46730.32,A001840
P000350,2025-12-31,employed,254,37281.99,A004198
P000352,2025-12-31,marginal,122,5507.52,A011510
P000353,2025-12-31,marginal,168,7730.09,A011510
P000355,2025-12-31,employed,365,45311.61,NA
P000356,2025-12-31,employed,216,16619.83,A015339
P000360,2025-12-31,employed,217,12510,A001148
P000361,2025-12-31,employed,363,27645.73,A011269
P000362,2025-12-31,employed,365,41585.21,A007384
P000363,2025-12-31,marginal,93,4253.71,A007384
P000366,2025-12-31,employed,365,28256.03,A012169
P000368,2025-12-31,employed,268,22622.93,A000525
P000373,2025-12-31,self_employed,315,19417.37,A017621
P000374,2025-12-31,employed,259,11234.29,A017621
P000376,2025-12-31,employed,218,20326.95,A004561
P000378,2025-12-31,employed,255,28129.92,A013295
P000379,2025-12-31,employed,228,20022.22,A013295
P000380,2025-12-31,employed,243,19671.63,A008070
P000381,2025-12-31,employed,365,43542.96,A001237
