person_id,true_resident,sex,age,age_group,citizenship_group,true_household_id,true_address_id,true_region_code,true_municipality_code,former_household_id,former_address_id,former_region_code,former_municipality_code,departure_date_true,in_population_register,coverage_status_true,overcoverage_flag_true,undercoverage_flag_true,registered_household_id_sim,registered_address_id_sim,registered_region_code_sim,registered_municipality_code_sim
P000001,1,M,50,40-64,DE,H000001,A006655,R09,R09-M02,,,,,,1,correctly_registered,0,0,H000001,A006655,R09,R09-M02
P000002,1,F,95,80+,DE,H000002,A001216,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000002,A001216,R02,R02-M01
P000003,1,F,22,18-24,EU,H000003,A003297,R01,R01-M04,,,,,,1,correctly_registered,0,0,H000003,A003297,R01,R01-M04
P000004,1,F,1,0-5,DE,H000004,A005655,R04,R04-M04,,,,,,1,correctly_registered,0,0,H000004,A005655,R04,R04-M04
P000005,1,M,55,40-64,DE,H000004,A005655,R04,R04-M04,,,,,,1,correctly_registered,0,0,H000004,A005655,R04,R04-M04
P000006,1,M,49,40-64,DE,H000005,A009528,R05,R05-M04,,,,,,1,correctly_registered,0,0,H000005,A009528,R05,R05-M04
P000007,1,F,59,40-64,DE,H000006,A017925,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000006,A017925,R01,R01-M02
P000008,1,F,76,65-79,DE,H000006,A017925,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000006,A017925,R01,R01-M02
P000009,1,M,18,18-24,DE,H000007,A006180,R10,R10-M03,,,,,,1,correctly_registered,0,0,H000007,A006180,R10,R10-M03
P000010,1,M,34,25-39,DE,H000007,A006180,R10,R10-M03,,,,,,1,correctly_registered,0,0,H000007,A006180,R10,R10-M03
P000011,1,M,57,40-64,Non-EU,H000008,A014541,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000008,A014541,R09,R09-M01
P000012,1,M,46,40-64,DE,H000009,A001072,R06,R06-M02,,,,,,1,correctly_registered,0,0,H000009,A001072,R06,R06-M02
P000013,1,M,66,65-79,DE,H000009,A001072,R06,R06-M02,,,,,,1,correctly_registered,0,0,H000009,A001072,R06,R06-M02
P000014,1,M,23,18-24,EU,H000010,A015571,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000010,A015571,R01,R01-M02
P000015,1,M,61,40-64,DE,H000010,A015571,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000010,A015571,R01,R01-M02
P000016,1,M,44,40-64,DE,H000011,A014240,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000011,A014240,R06,R06-M01
P000017,1,F,45,40-64,DE,H000011,A014240,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000011,A014240,R06,R06-M01
P000018,1,M,43,40-64,Non-EU,H000011,A014240,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000011,A014240,R06,R06-M01
P000019,1,F,47,40-64,DE,H000011,A014240,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000011,A014240,R06,R06-M01
P000020,1,F,74,65-79,DE,H000012,A002389,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000012,A002389,R09,R09-M04
P000021,1,F,17,6-17,DE,H000012,A002389,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000012,A002389,R09,R09-M04
P000022,1,M,73,65-79,DE,H000012,A002389,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000012,A002389,R09,R09-M04
P000023,1,F,82,80+,DE,H000012,A002389,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000012,A002389,R09,R09-M04
