person_id,tax_year,tax_filing_flag,taxable_income,contact_address_id
P000001,2025,1,21465.73,A006655
P000005,2025,0,0.0,A005655
P000006,2025,1,63815.07,A009528
P000007,2025,1,19852.57,A017925
P000009,2025,1,7656.58,A006180
P000010,2025,1,23263.5,A006180
P000011,2025,1,84662.49,A014541
P000012,2025,1,27694.34,A001072
P000013,2025,1,11174.29,A001072
P000017,2025,1,16220.88,A014240
P000018,2025,1,65586.21,A014240
P000025,2025,1,,A005411
P000028,2025,1,37735.5,A002356
P000029,2025,1,9320.08,A004678
P000033,2025,1,71982.77,A010750
P000034,2025,1,46342.83,A002996
P000035,2025,1,22916.05,A002996
P000037,2025,1,21176.03,A012059
P000043,2025,1,34351.3,A001756
P000047,2025,1,12740.82,A001555
P000048,2025,1,61569.91,A001371
P000049,2025,1,58834.23,A001371
P000055,2025,1,10130.89,A008983
P000056,2025,1,39966.94,A016558
P000058,2025,1,38136.94,A014529
P000060,2025,1,20881.99,A012450
P000063,2025,1,64866.47,A005101
P000066,2025,1,29833.15,A002661
P000069,2025,1,30156.88,A002755
P000073,2025,1,62593.14,A006232
P000075,2025,1,53497.18,A005904
P000077,2025,1,9482.58,A012888
P000079,2025,1,28063.49,A012265
P000082,2025,1,17646.95,A008883
P000084,2025,1,57851.48,A014889
P000086,2025,1,77886.49,A002456
P000088,2025,1,27218.04,A003235
P000094,2025,1,42519.26,A001532
P000096,2025,1,46884.95,A013592
P000098,2025,1,5285.92,A010188
P000100,2025,1,47200.2,A000673
P000101,2025,1,26329.21,
P000103,2025,1,42797.13,A001531
P000104,2025,1,21676.17,A001531
P000110,2025,1,41501.08,A009036
P000112,2025,1,32526.15,A008722
P000116,2025,1,29779.04,A017202
P000121,2025,1,29557.78,A007708
P000124,2025,1,30298.69,A011477
P000129,2025,1,25964.32,A012998
P000130,2025,1,50135.2,A006787
P000134,2025,1,12585.27,A012197
P000135,2025,1,32707.71,A007086
P000138,2025,1,28484.52,A007086
P000139,2025,1,32996.14,A006786
P000145,2025,0,,A000995
P000147,2025,1,43811.59,A017388
P000148,2025,1,42832.06,A001810
P000149,2025,1,11926.83,A009976
P000151,2025,1,23983.66,A005108
P000155,2025,1,10100.48,A014038
P000156,2025,1,14779.4,A014038
P000157,2025,1,61932.06,A014038
P000160,2025,1,15260.29,A015604
P000163,2025,1,109905.15,A005077
P000164,2025,1,46656.05,A001996
P000165,2025,1,26295.27,A007980
P000169,2025,1,14394.74,A013427
P000171,2025,1,28337.14,A013427
P000172,2025,1,148264.69,A013427
P000173,2025,1,66046.97,A003633
P000175,2025,1,21884.95,A003633
P000178,2025,1,38537.49,A015067
P000179,2025,1,25372.21,A003373
P000180,2025,1,36168.36,A003373
P000181,2025,1,38808.41,A015789
P000184,2025,1,9930.73,A005158
P000185,2025,1,33161.91,A005158
P000186,2025,1,24098.48,A014154
P000189,2025,1,53421.2,A015620
P000191,2025,1,56675.8,A015620
P000193,2025,1,24377.42,A002791
P000197,2025,1,-29902.84,
P000198,2025,1,35732.33,A004569
P000200,2025,1,61772.75,A007152
P000208,2025,1,19645.35,A005125
P000213,2025,1,24518.6,A012717
P000216,2025,1,41985.81,A013624
P000217,2025,1,13748.27,A013624
P000218,2025,1,9056.46,A013624
P000220,2025,1,29120.04,A007174
P000221,2025,1,29383.5,A000807
P000223,2025,1,34020.44,A016152
P000229,2025,1,59548.59,A010558
P000230,2025,1,44394.02,A010558
P000231,2025,1,21529.95,A004270
P000232,2025,1,10351.98,A010192
P000233,2025,1,29501.24,A010333
P000235,2025,1,14810.94,A010333
P000236,2025,1,17648.49,A010333
P000237,2025,1,49189.6,A016562
P000239,2025,1,5978.08,A012327
P000240,2025,1,28376.8,A012327
P000244,2025,1,29505.35,A007355
P000247,2025,1,28724.3,A010221
P000249,2025,1,21388.32,A006151
P000252,2025,1,35037.82,A003934
P000253,2025,1,60894.74,A003934
P000256,2025,1,49274.56,A006787
P000257,2025,1,14325.48,A006787
P000259,2025,1,14288.99,A002105
P000261,2025,1,39779.76,A015861
P000264,2025,1,15362.46,A010144
P000266,2025,1,24411.63,A006705
P000268,2025,1,36790.37,A006705
P000271,2025,1,20699.59,A006528
P000272,2025,1,28575.74,A006528
P000273,2025,1,33349.05,A006528
P000275,2025,1,18405.51,A009970
P000277,2025,1,11007.41,A006643
P000279,2025,1,33098.51,A006643
P000281,2025,1,61268.58,A000978
P000283,2025,1,51607.14,A000978
P000286,2025,1,104497.29,A006910
P000287,2025,1,12063.73,A006910
P000291,2025,1,60375.5,A017716
P000296,2025,1,66454.06,A006732
P000299,2025,1,42662.03,A012876
P000301,2025,1,15695.56,A000336
P000304,2025,1,12816.88,A000336
P000305,2025,0,0.0,A012609
P000306,2025,1,122113.74,A007673
P000308,2025,1,17327.77,A004487
P000313,2025,1,70900.67,A000337
P000314,2025,1,26907.48,A017421
P000315,2025,1,28914.64,A017421
P000319,2025,1,40409.13,A010353
P000320,2025,1,4517.47,A010353
P000323,2025,1,42546.87,A003235
P000324,2025,1,38807.65,A016156
P000326,2025,1,60951.29,A001673
P000327,2025,1,47516.33,A004595
P000329,2025,1,23122.82,A004595
P000331,2025,1,27687.61,A013948
P000335,2025,1,23532.78,A008249
P000337,2025,1,80012.13,
P000340,2025,1,43175.46,A009615
P000341,2025,1,15752.99,A015919
P000342,2025,1,19412.73,A015000
P000344,2025,1,24896.66,A000771
P000347,2025,1,22429.28,A011309
P000348,2025,1,51630.04,A011309
P000350,2025,1,21647.33,
P000351,2025,1,26052.78,A001139
P000352,2025,1,24063.35,A001139
P000354,2025,1,71989.91,A003439
P000356,2025,1,17292.24,A003054
P000357,2025,1,6780.82,
P000361,2025,1,102255.64,A016774
P000364,2025,1,8230.9,A011160
P000366,2025,1,124650.08,A002500
P000367,2025,1,10323.38,A014108
P000368,2025,1,10923.13,A014108
