source,qa_status,qa_reason,n_records,source_total_records,share_of_source_records
ba_like_2024,usable,valid_evidence,17927,18437,0.9723382329012312
ba_like_2024,flagged,missing_attainment,183,18437,0.009925692900146445
ba_like_2024,rejected,duplicate_person_year,182,18437,0.00987145414112925
ba_like_2024,rejected,invalid_reference_year,36,18437,0.0019525953246189727
ba_like_2024,rejected,missing_person_id,36,18437,0.0019525953246189727
ba_like_2024,rejected,unknown_source_code,73,18437,0.003959429408255139
mikrozensus_like_2024,usable,valid_evidence,3256,3346,0.9731022115959355
mikrozensus_like_2024,flagged,missing_attainment,33,3346,0.00986252241482367
mikrozensus_like_2024,rejected,duplicate_person_year,32,3346,0.009563658099222952
mikrozensus_like_2024,rejected,invalid_reference_year,6,3346,0.0017931858936043037
mikrozensus_like_2024,rejected,missing_person_id,6,3346,0.0017931858936043037
mikrozensus_like_2024,rejected,unknown_source_code,13,3346,0.0038852361028093247
zensus_like_2022,usable,valid_evidence,7924,8149,0.9723892502147503
zensus_like_2022,flagged,missing_attainment,81,8149,0.0099398699226899
zensus_like_2022,rejected,duplicate_person_year,80,8149,0.009817155479199901
zensus_like_2022,rejected,invalid_reference_year,16,8149,0.0019634310958399803
zensus_like_2022,rejected,missing_person_id,16,8149,0.0019634310958399803
zensus_like_2022,rejected,unknown_source_code,32,8149,0.003926862191679961
